Net generation from petroleum for Southeast (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390115&sdid=EBA.SE-ALL.NG.OIL.H
19:20:38 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SE-ALL.NG.OIL.H megawatthours
11/11/2021 05H,0
11/11/2021 04H,0
11/11/2021 03H,-2
11/11/2021 02H,0
11/11/2021 01H,0
11/11/2021 00H,-1
11/10/2021 23H,0
11/10/2021 22H,0
11/10/2021 21H,8
11/10/2021 20H,47
11/10/2021 19H,23
11/10/2021 18H,-2
11/10/2021 17H,0
11/10/2021 16H,-1
11/10/2021 15H,-1
11/10/2021 14H,-1
11/10/2021 13H,0
11/10/2021 12H,0
11/10/2021 11H,0
11/10/2021 10H,-2
11/10/2021 09H,0
11/10/2021 08H,-1
11/10/2021 07H,-1
11/10/2021 06H,0
11/10/2021 05H,-1
11/10/2021 04H,-2
11/10/2021 03H,0
11/10/2021 02H,0
11/10/2021 01H,0
11/10/2021 00H,0
11/9/2021 23H,-1
11/9/2021 22H,-1
11/9/2021 21H,-1
11/9/2021 20H,0
11/9/2021 19H,0
11/9/2021 18H,0
11/9/2021 17H,0
11/9/2021 16H,0
11/9/2021 15H,-3
11/9/2021 14H,0
11/9/2021 13H,0
11/9/2021 12H,57
11/9/2021 11H,6
11/9/2021 10H,0
11/9/2021 09H,0
11/9/2021 08H,0
11/9/2021 07H,-1
11/9/2021 06H,-1
11/9/2021 05H,-3
11/9/2021 04H,0
11/9/2021 03H,-2
11/9/2021 02H,0
11/9/2021 01H,3
11/9/2021 00H,0
11/8/2021 23H,-1
11/8/2021 22H,-1
11/8/2021 21H,0
11/8/2021 20H,-1
11/8/2021 19H,0
11/8/2021 18H,-1
11/8/2021 17H,0
11/8/2021 16H,0
11/8/2021 15H,0
11/8/2021 14H,-1
11/8/2021 13H,-2
11/8/2021 12H,0
11/8/2021 11H,0
11/8/2021 10H,0
11/8/2021 09H,0
11/8/2021 08H,0
11/8/2021 07H,-3
11/8/2021 06H,-3
11/8/2021 05H,0
11/8/2021 04H,0
11/8/2021 03H,0
11/8/2021 02H,0
11/8/2021 01H,0
11/8/2021 00H,-2
11/7/2021 23H,-1
11/7/2021 22H,0
11/7/2021 21H,-2
11/7/2021 20H,0
11/7/2021 19H,0
11/7/2021 18H,0
11/7/2021 17H,-1
11/7/2021 16H,0
11/7/2021 15H,-1
11/7/2021 14H,0
11/7/2021 13H,0
11/7/2021 12H,-1
11/7/2021 11H,0
11/7/2021 10H,-1
11/7/2021 09H,-1
11/7/2021 08H,-1
11/7/2021 07H,0
11/7/2021 06H,-1
11/7/2021 05H,-2
11/7/2021 04H,0
11/7/2021 03H,-2
11/7/2021 02H,0
11/7/2021 01H,0
11/7/2021 00H,0
11/6/2021 23H,0
11/6/2021 22H,0
11/6/2021 21H,-1
11/6/2021 20H,-2
11/6/2021 19H,0
11/6/2021 18H,-1
11/6/2021 17H,0
11/6/2021 16H,-2
11/6/2021 15H,0
11/6/2021 14H,-1
11/6/2021 13H,0
11/6/2021 12H,-2
11/6/2021 11H,0
11/6/2021 10H,0
11/6/2021 09H,0
11/6/2021 08H,0
11/6/2021 07H,0
11/6/2021 06H,0
11/6/2021 05H,-2
11/6/2021 04H,-3
11/6/2021 03H,-1
11/6/2021 02H,0
11/6/2021 01H,0
11/6/2021 00H,-2
11/5/2021 23H,0
11/5/2021 22H,0
11/5/2021 21H,0
11/5/2021 20H,4
11/5/2021 19H,13
11/5/2021 18H,0
11/5/2021 17H,-1
11/5/2021 16H,0
11/5/2021 15H,-1
11/5/2021 14H,-1
11/5/2021 13H,-1
11/5/2021 12H,0
11/5/2021 11H,0
11/5/2021 10H,-2
11/5/2021 09H,0
11/5/2021 08H,-2
11/5/2021 07H,0
11/5/2021 06H,0
11/5/2021 05H,0
11/5/2021 04H,0
11/5/2021 03H,0
11/5/2021 02H,-1
11/5/2021 01H,0
11/5/2021 00H,-1
11/4/2021 23H,-1
11/4/2021 22H,-1
11/4/2021 21H,-1
11/4/2021 20H,0
11/4/2021 19H,0
11/4/2021 18H,-1
11/4/2021 17H,0
11/4/2021 16H,0
11/4/2021 15H,0
11/4/2021 14H,-1
11/4/2021 13H,-2
11/4/2021 12H,-1
11/4/2021 11H,0
11/4/2021 10H,-2
11/4/2021 09H,0
11/4/2021 08H,0
11/4/2021 07H,-1
11/4/2021 06H,0
11/4/2021 05H,0
11/4/2021 04H,0
11/4/2021 03H,-1
11/4/2021 02H,0
11/4/2021 01H,-2
11/4/2021 00H,-2
11/3/2021 23H,0
11/3/2021 22H,0
11/3/2021 21H,0
11/3/2021 20H,0
11/3/2021 19H,0
11/3/2021 18H,0
11/3/2021 17H,-1
11/3/2021 16H,0
11/3/2021 15H,0
11/3/2021 14H,0
11/3/2021 13H,-2
11/3/2021 12H,0
11/3/2021 11H,0
11/3/2021 10H,-2
11/3/2021 09H,0
11/3/2021 08H,-1
11/3/2021 07H,-1
11/3/2021 06H,0
11/3/2021 05H,0
11/3/2021 04H,0
11/3/2021 03H,0
11/3/2021 02H,-2
11/3/2021 01H,0
11/3/2021 00H,-1
11/2/2021 23H,0
11/2/2021 22H,-1
11/2/2021 21H,0
11/2/2021 20H,-1
11/2/2021 19H,-2
11/2/2021 18H,0
11/2/2021 17H,0
11/2/2021 16H,0
11/2/2021 15H,0
11/2/2021 14H,1
11/2/2021 13H,2
11/2/2021 12H,32
11/2/2021 11H,9
11/2/2021 10H,-1
11/2/2021 09H,0
11/2/2021 08H,0
11/2/2021 07H,0
11/2/2021 06H,-1
11/2/2021 05H,0
11/2/2021 04H,0
11/2/2021 03H,-2
11/2/2021 02H,-1
11/2/2021 01H,-1
11/2/2021 00H,0
11/1/2021 23H,-1
11/1/2021 22H,0
11/1/2021 21H,0
11/1/2021 20H,-2
11/1/2021 19H,0
11/1/2021 18H,1
11/1/2021 17H,0
11/1/2021 16H,-1
11/1/2021 15H,-1
11/1/2021 14H,0
11/1/2021 13H,-1
11/1/2021 12H,-1
11/1/2021 11H,0
11/1/2021 10H,-1
11/1/2021 09H,-1
11/1/2021 08H,-1
11/1/2021 07H,0
11/1/2021 06H,0
11/1/2021 05H,-1
11/1/2021 04H,-1
11/1/2021 03H,0
11/1/2021 02H,-1
11/1/2021 01H,0
11/1/2021 00H,0
10/31/2021 23H,0
10/31/2021 22H,0
10/31/2021 21H,0
10/31/2021 20H,-1
10/31/2021 19H,-1
10/31/2021 18H,0
10/31/2021 17H,0
10/31/2021 16H,-1
10/31/2021 15H,-1
10/31/2021 14H,0
10/31/2021 13H,0
10/31/2021 12H,0
10/31/2021 11H,-1
10/31/2021 10H,0
10/31/2021 09H,-1
10/31/2021 08H,-1
10/31/2021 07H,0
10/31/2021 06H,0
10/31/2021 05H,-1
10/31/2021 04H,0
10/31/2021 03H,0
10/31/2021 02H,0
10/31/2021 01H,0
10/31/2021 00H,0
10/30/2021 23H,-2
10/30/2021 22H,-1
10/30/2021 21H,-1
10/30/2021 20H,-1
10/30/2021 19H,-1
10/30/2021 18H,-1
10/30/2021 17H,0
10/30/2021 16H,0
10/30/2021 15H,-1
10/30/2021 14H,0
10/30/2021 13H,-3
10/30/2021 12H,0
10/30/2021 11H,0
10/30/2021 10H,0
10/30/2021 09H,0
10/30/2021 08H,0
10/30/2021 07H,0
10/30/2021 06H,-1
10/30/2021 05H,-1
10/30/2021 04H,-1
10/30/2021 03H,0
10/30/2021 02H,-2
10/30/2021 01H,-1
10/30/2021 00H,0
10/29/2021 23H,0
10/29/2021 22H,0
10/29/2021 21H,-1
10/29/2021 20H,0
10/29/2021 19H,0
10/29/2021 18H,0
10/29/2021 17H,-1
10/29/2021 16H,0
10/29/2021 15H,0
10/29/2021 14H,0
10/29/2021 13H,-1
10/29/2021 12H,0
10/29/2021 11H,-1
10/29/2021 10H,0
10/29/2021 09H,0
10/29/2021 08H,-3
10/29/2021 07H,0
10/29/2021 06H,-2
10/29/2021 05H,-1
10/29/2021 04H,0
10/29/2021 03H,0
10/29/2021 02H,0
10/29/2021 01H,0
10/29/2021 00H,0
10/28/2021 23H,0
10/28/2021 22H,0
10/28/2021 21H,0
10/28/2021 20H,-1
10/28/2021 19H,0
10/28/2021 18H,-1
10/28/2021 17H,-1
10/28/2021 16H,-1
10/28/2021 15H,-2
10/28/2021 14H,-1
10/28/2021 13H,-1
10/28/2021 12H,0
10/28/2021 11H,0
10/28/2021 10H,0
10/28/2021 09H,0
10/28/2021 08H,0
10/28/2021 07H,-1
10/28/2021 06H,0
10/28/2021 05H,0
10/28/2021 04H,0
10/28/2021 03H,-1
10/28/2021 02H,0
10/28/2021 01H,-2
10/28/2021 00H,0
10/27/2021 23H,-1
10/27/2021 22H,0
10/27/2021 21H,0
10/27/2021 20H,-2
10/27/2021 19H,-1
10/27/2021 18H,0
10/27/2021 17H,0
10/27/2021 16H,0
10/27/2021 15H,0
10/27/2021 14H,0
10/27/2021 13H,-1
10/27/2021 12H,0
10/27/2021 11H,-1
10/27/2021 10H,-1
10/27/2021 09H,-1
10/27/2021 08H,-1
10/27/2021 07H,-1
10/27/2021 06H,-1
10/27/2021 05H,-1
10/27/2021 04H,0
10/27/2021 03H,0
10/27/2021 02H,0
10/27/2021 01H,-1
10/27/2021 00H,0
10/26/2021 23H,-1
10/26/2021 22H,0
10/26/2021 21H,0
10/26/2021 20H,0
10/26/2021 19H,0
10/26/2021 18H,-1
10/26/2021 17H,-1
10/26/2021 16H,0
10/26/2021 15H,34
10/26/2021 14H,20
10/26/2021 13H,0
10/26/2021 12H,2
10/26/2021 11H,0
10/26/2021 10H,-1
10/26/2021 09H,0
10/26/2021 08H,0
10/26/2021 07H,-1
10/26/2021 06H,0
10/26/2021 05H,0
10/26/2021 04H,0
10/26/2021 03H,-1
10/26/2021 02H,0
10/26/2021 01H,-2
10/26/2021 00H,-1
10/25/2021 23H,-1
10/25/2021 22H,-1
10/25/2021 21H,0
10/25/2021 20H,0
10/25/2021 19H,0
10/25/2021 18H,-2
10/25/2021 17H,0
10/25/2021 16H,0
10/25/2021 15H,0
10/25/2021 14H,0
10/25/2021 13H,0
10/25/2021 12H,-1
10/25/2021 11H,0
10/25/2021 10H,0
10/25/2021 09H,0
10/25/2021 08H,-4
10/25/2021 07H,-1
10/25/2021 06H,-1
10/25/2021 05H,0
10/25/2021 04H,0
10/25/2021 03H,0
10/25/2021 02H,0
10/25/2021 01H,0
10/25/2021 00H,0
10/24/2021 23H,0
10/24/2021 22H,-1
10/24/2021 21H,-1
10/24/2021 20H,-1
10/24/2021 19H,0
10/24/2021 18H,0
10/24/2021 17H,-1
10/24/2021 16H,-2
10/24/2021 15H,-1
10/24/2021 14H,-1
10/24/2021 13H,-1
10/24/2021 12H,0
10/24/2021 11H,0
10/24/2021 10H,0
10/24/2021 09H,0
10/24/2021 08H,0
10/24/2021 07H,-1
10/24/2021 06H,0
10/24/2021 05H,0
10/24/2021 04H,0
10/24/2021 03H,0
10/24/2021 02H,0
10/24/2021 01H,-2
10/24/2021 00H,-3
10/23/2021 23H,0
10/23/2021 22H,-2
10/23/2021 21H,0
10/23/2021 20H,0
10/23/2021 19H,-1
10/23/2021 18H,-1
10/23/2021 17H,0
10/23/2021 16H,0
10/23/2021 15H,0
10/23/2021 14H,0
10/23/2021 13H,0
10/23/2021 12H,0
10/23/2021 11H,0
10/23/2021 10H,-1
10/23/2021 09H,-2
10/23/2021 08H,-1
10/23/2021 07H,0
10/23/2021 06H,0
10/23/2021 05H,0
10/23/2021 04H,0
10/23/2021 03H,-1
10/23/2021 02H,0
10/23/2021 01H,-1
10/23/2021 00H,0
10/22/2021 23H,-1
10/22/2021 22H,0
10/22/2021 21H,0
10/22/2021 20H,0
10/22/2021 19H,-1
10/22/2021 18H,0
10/22/2021 17H,-1
10/22/2021 16H,-3
10/22/2021 15H,0
10/22/2021 14H,0
10/22/2021 13H,0
10/22/2021 12H,0
10/22/2021 11H,-1
10/22/2021 10H,0
10/22/2021 09H,0
10/22/2021 08H,-1
10/22/2021 07H,0
10/22/2021 06H,-1
10/22/2021 05H,-1
10/22/2021 04H,0
10/22/2021 03H,0
10/22/2021 02H,-1
10/22/2021 01H,-3
10/22/2021 00H,-2
10/21/2021 23H,0
10/21/2021 22H,0
10/21/2021 21H,0
10/21/2021 20H,0
10/21/2021 19H,0
10/21/2021 18H,-1
10/21/2021 17H,0
10/21/2021 16H,0
10/21/2021 15H,0
10/21/2021 14H,0
10/21/2021 13H,-2
10/21/2021 12H,-1
10/21/2021 11H,-2
10/21/2021 10H,-1
10/21/2021 09H,-1
10/21/2021 08H,0
10/21/2021 07H,-2
10/21/2021 06H,0
10/21/2021 05H,0
10/21/2021 04H,0
10/21/2021 03H,0
10/21/2021 02H,0
10/21/2021 01H,-1
10/21/2021 00H,0
10/20/2021 23H,0
10/20/2021 22H,0
10/20/2021 21H,0
10/20/2021 20H,0
10/20/2021 19H,0
10/20/2021 18H,-3
10/20/2021 17H,0
10/20/2021 16H,-1
10/20/2021 15H,-1
10/20/2021 14H,-1
10/20/2021 13H,0
10/20/2021 12H,0
10/20/2021 11H,-1
10/20/2021 10H,0
10/20/2021 09H,-1
10/20/2021 08H,0
10/20/2021 07H,0
10/20/2021 06H,0
10/20/2021 05H,0
10/20/2021 04H,-1
10/20/2021 03H,-1
10/20/2021 02H,-1
10/20/2021 01H,-2
10/20/2021 00H,-1
10/19/2021 23H,0
10/19/2021 22H,-1
10/19/2021 21H,0
10/19/2021 20H,0
10/19/2021 19H,-1
10/19/2021 18H,0
10/19/2021 17H,0
10/19/2021 16H,0
10/19/2021 15H,-1
10/19/2021 14H,17
10/19/2021 13H,19
10/19/2021 12H,-1
10/19/2021 11H,0
10/19/2021 10H,0
10/19/2021 09H,-1
10/19/2021 08H,-1
10/19/2021 07H,-2
10/19/2021 06H,-2
10/19/2021 05H,0
10/19/2021 04H,0
10/19/2021 03H,-1
10/19/2021 02H,0
10/19/2021 01H,-1
10/19/2021 00H,0
10/18/2021 23H,0
10/18/2021 22H,0
10/18/2021 21H,0
10/18/2021 20H,-1
10/18/2021 19H,-1
10/18/2021 18H,0
10/18/2021 17H,-2
10/18/2021 16H,0
10/18/2021 15H,-1
10/18/2021 14H,-1
10/18/2021 13H,0
10/18/2021 12H,-1
10/18/2021 11H,-1
10/18/2021 10H,0
10/18/2021 09H,0
10/18/2021 08H,0
10/18/2021 07H,0
10/18/2021 06H,0
10/18/2021 05H,-1
10/18/2021 04H,-2
10/18/2021 03H,0
10/18/2021 02H,0
10/18/2021 01H,0
10/18/2021 00H,-1
10/17/2021 23H,-1
10/17/2021 22H,-1
10/17/2021 21H,-1
10/17/2021 20H,0
10/17/2021 19H,0
10/17/2021 18H,-1
10/17/2021 17H,0
10/17/2021 16H,0
10/17/2021 15H,0
10/17/2021 14H,0
10/17/2021 13H,-2
10/17/2021 12H,0
10/17/2021 11H,0
10/17/2021 10H,0
10/17/2021 09H,-1
10/17/2021 08H,0
10/17/2021 07H,-2
10/17/2021 06H,-1
10/17/2021 05H,0
10/17/2021 04H,0
10/17/2021 03H,-2
10/17/2021 02H,0
10/17/2021 01H,-1
10/17/2021 00H,-2
10/16/2021 23H,0
10/16/2021 22H,-2
10/16/2021 21H,0
10/16/2021 20H,0
10/16/2021 19H,0
10/16/2021 18H,0
10/16/2021 17H,-1
10/16/2021 16H,-1
10/16/2021 15H,0
10/16/2021 14H,0
10/16/2021 13H,0
10/16/2021 12H,0
10/16/2021 11H,0
10/16/2021 10H,0
10/16/2021 09H,0
10/16/2021 08H,-1
10/16/2021 07H,0
10/16/2021 06H,-3
10/16/2021 05H,-1
10/16/2021 04H,-1
10/16/2021 03H,0
10/16/2021 02H,0
10/16/2021 01H,-1
10/16/2021 00H,0
10/15/2021 23H,0
10/15/2021 22H,-1
10/15/2021 21H,0
10/15/2021 20H,0
10/15/2021 19H,0
10/15/2021 18H,-2
10/15/2021 17H,0
10/15/2021 16H,0
10/15/2021 15H,-2
10/15/2021 14H,0
10/15/2021 13H,-1
10/15/2021 12H,-1
10/15/2021 11H,-1
10/15/2021 10H,0
10/15/2021 09H,-1
10/15/2021 08H,-1
10/15/2021 07H,0
10/15/2021 06H,-1
10/15/2021 05H,0
10/15/2021 04H,0
10/15/2021 03H,0
10/15/2021 02H,0
10/15/2021 01H,0
10/15/2021 00H,-1
10/14/2021 23H,0
10/14/2021 22H,0
10/14/2021 21H,0
10/14/2021 20H,-1
10/14/2021 19H,-2
10/14/2021 18H,0
10/14/2021 17H,-1
10/14/2021 16H,-1
10/14/2021 15H,0
10/14/2021 14H,0
10/14/2021 13H,0
10/14/2021 12H,0
10/14/2021 11H,0
10/14/2021 10H,0
10/14/2021 09H,-1
10/14/2021 08H,-1
10/14/2021 07H,-1
10/14/2021 06H,0
10/14/2021 05H,0
10/14/2021 04H,0
10/14/2021 03H,-2
10/14/2021 02H,-2
10/14/2021 01H,0
10/14/2021 00H,-1
10/13/2021 23H,0
10/13/2021 22H,-1
10/13/2021 21H,-1
10/13/2021 20H,-1
10/13/2021 19H,0
10/13/2021 18H,0
10/13/2021 17H,-1
10/13/2021 16H,0
10/13/2021 15H,0
10/13/2021 14H,0
10/13/2021 13H,-1
10/13/2021 12H,0
10/13/2021 11H,0
10/13/2021 10H,-2
10/13/2021 09H,-2
10/13/2021 08H,0
10/13/2021 07H,0
10/13/2021 06H,0
10/13/2021 05H,-1
10/13/2021 04H,0
10/13/2021 03H,-1
10/13/2021 02H,-1
10/13/2021 01H,0
10/13/2021 00H,-1
10/12/2021 23H,0
10/12/2021 22H,-1
10/12/2021 21H,0
10/12/2021 20H,0
10/12/2021 19H,-1
10/12/2021 18H,-1
10/12/2021 17H,-1
10/12/2021 16H,0
10/12/2021 15H,0
10/12/2021 14H,10
10/12/2021 13H,30
10/12/2021 12H,0
10/12/2021 11H,-1
10/12/2021 10H,-1
10/12/2021 09H,0
10/12/2021 08H,-1
10/12/2021 07H,0
10/12/2021 06H,0
10/12/2021 05H,0
10/12/2021 04H,-1
10/12/2021 03H,-1
10/12/2021 02H,0
10/12/2021 01H,0
10/12/2021 00H,0
10/11/2021 23H,0
10/11/2021 22H,-2
10/11/2021 21H,0
10/11/2021 20H,0
10/11/2021 19H,-3
10/11/2021 18H,0
10/11/2021 17H,0
10/11/2021 16H,-1
10/11/2021 15H,-1
10/11/2021 14H,-1
10/11/2021 13H,-1
10/11/2021 12H,-1
10/11/2021 11H,0
10/11/2021 10H,0
10/11/2021 09H,0
10/11/2021 08H,0
10/11/2021 07H,0
10/11/2021 06H,-1
10/11/2021 05H,-4
10/11/2021 04H,-1
10/11/2021 03H,0
10/11/2021 02H,0
10/11/2021 01H,0
10/11/2021 00H,0
10/10/2021 23H,-1
10/10/2021 22H,0
10/10/2021 21H,-2
10/10/2021 20H,-2
10/10/2021 19H,0
10/10/2021 18H,0
10/10/2021 17H,-1
10/10/2021 16H,0
10/10/2021 15H,0
10/10/2021 14H,-1
10/10/2021 13H,0
10/10/2021 12H,-2
10/10/2021 11H,0
10/10/2021 10H,0
10/10/2021 09H,-1
10/10/2021 08H,0
10/10/2021 07H,0
10/10/2021 06H,-1
10/10/2021 05H,-1
10/10/2021 04H,0
10/10/2021 03H,-2
10/10/2021 02H,0
10/10/2021 01H,-1
10/10/2021 00H,0
10/9/2021 23H,0
10/9/2021 22H,0
10/9/2021 21H,0
10/9/2021 20H,0
10/9/2021 19H,0
10/9/2021 18H,-2
10/9/2021 17H,0
10/9/2021 16H,0
10/9/2021 15H,-1
10/9/2021 14H,0
10/9/2021 13H,0
10/9/2021 12H,0
10/9/2021 11H,0
10/9/2021 10H,-1
10/9/2021 09H,-2
10/9/2021 08H,-1
10/9/2021 07H,-1
10/9/2021 06H,-1
10/9/2021 05H,0
10/9/2021 04H,0
10/9/2021 03H,-1
10/9/2021 02H,0
10/9/2021 01H,0
10/9/2021 00H,-1
10/8/2021 23H,-1
10/8/2021 22H,0
10/8/2021 21H,0
10/8/2021 20H,-1
10/8/2021 19H,0
10/8/2021 18H,0
10/8/2021 17H,-1
10/8/2021 16H,0
10/8/2021 15H,0
10/8/2021 14H,0
10/8/2021 13H,-1
10/8/2021 12H,-1
10/8/2021 11H,0
10/8/2021 10H,0
10/8/2021 09H,-1
10/8/2021 08H,0
10/8/2021 07H,-2
10/8/2021 06H,0
10/8/2021 05H,-1
10/8/2021 04H,0
10/8/2021 03H,0
10/8/2021 02H,0
10/8/2021 01H,0
10/8/2021 00H,-1
10/7/2021 23H,-1
10/7/2021 22H,0
10/7/2021 21H,0
10/7/2021 20H,0
10/7/2021 19H,-2
10/7/2021 18H,-1
10/7/2021 17H,0
10/7/2021 16H,0
10/7/2021 15H,-1
10/7/2021 14H,0
10/7/2021 13H,0
10/7/2021 12H,-1
10/7/2021 11H,0
10/7/2021 10H,0
10/7/2021 09H,0
10/7/2021 08H,-2
10/7/2021 07H,0
10/7/2021 06H,0
10/7/2021 05H,-2
10/7/2021 04H,-1
10/7/2021 03H,-1
10/7/2021 02H,-1
10/7/2021 01H,-1
10/7/2021 00H,0
10/6/2021 23H,-3
10/6/2021 22H,0
10/6/2021 21H,0
10/6/2021 20H,0
10/6/2021 19H,0
10/6/2021 18H,0
10/6/2021 17H,0
10/6/2021 16H,32
10/6/2021 15H,58
10/6/2021 14H,12
10/6/2021 13H,0
10/6/2021 12H,0
10/6/2021 11H,-1
10/6/2021 10H,0
10/6/2021 09H,0
10/6/2021 08H,0
10/6/2021 07H,0
10/6/2021 06H,-1
10/6/2021 05H,-2
10/6/2021 04H,-2
10/6/2021 03H,0
10/6/2021 02H,0
10/6/2021 01H,-1
10/6/2021 00H,0
10/5/2021 23H,0
10/5/2021 22H,-1
10/5/2021 21H,0
10/5/2021 20H,-1
10/5/2021 19H,0
10/5/2021 18H,-2
10/5/2021 17H,0
10/5/2021 16H,-1
10/5/2021 15H,6
10/5/2021 14H,47
10/5/2021 13H,0
10/5/2021 12H,0
10/5/2021 11H,2
10/5/2021 10H,0
10/5/2021 09H,-2
10/5/2021 08H,-1
10/5/2021 07H,0
10/5/2021 06H,0
10/5/2021 05H,-1
10/5/2021 04H,0
10/5/2021 03H,0
10/5/2021 02H,0
10/5/2021 01H,0
10/5/2021 00H,0
10/4/2021 23H,0
10/4/2021 22H,-2
10/4/2021 21H,-3
10/4/2021 20H,0
10/4/2021 19H,-1
10/4/2021 18H,5
10/4/2021 17H,15
10/4/2021 16H,0
10/4/2021 15H,-1
10/4/2021 14H,0
10/4/2021 13H,0
10/4/2021 12H,-1
10/4/2021 11H,0
10/4/2021 10H,-1
10/4/2021 09H,0
10/4/2021 08H,-1
10/4/2021 07H,0
